"","tic","year","assets.total","cash","shares.outstanding.common","co.stock","financing.net.cash.flow","gross.profit.loss","invested.capital","total.inventories","liabilities.total","net.income.loss","volatility.assumption","risk.free.rate","retained.earnings","retained.earnings.restatement","revenue.total","working.capital","deffered.long.asset.tax","net.deferred.tax.asset","eps","trade.volume","stock.price.trend","price.close.monthly","settlement","was.litigated","quality.rating","market.cap","settlement.dollars","mpl","earnings"
"1","ADCT",2010,1.54254705808608,0.542009922546219,97.2,3.16547504814109,-0.00240614325778094,0.501523946860949,1.1352811579756,0.111310279403431,1.08809982713824,0.064861253035834,64.02,2.24,-0.960783464324354,0,1.20997621389106,0.856796229618517,0.0553412949289616,0.0583751277322506,0.64,20.4552179449247,6.42135338345865,9.8342238616964,0,TRUE,3,6.86263924424996,0,0.652959854663199,0.0650788520782768
"3","AVX",2010,0.991657750359905,0.162185077357371,170.142,0.5675839575846,-0.0136746795815883,0.215906880165702,0.871920400445335,0.212268564604054,0.11973734991457,0.10431961362971,27,2.3,0.757026584843093,0,0.70678918530473,0.584204030459944,0.000705858871008356,0.0175314650905928,1.44,18.2210628807345,2.64863636363636,13.7473079887631,0,FALSE,3,7.75747640481317,0,0.192665819795507,0.104747780523797
"4","AVX",2011,1.02463740358374,0.164108914964026,169.601,0.5675839575846,-0.021370311697054,0.182195670007002,0.880466888962627,0.235033157458156,0.144170514621115,0.0634396098781585,23,1.8,0.771174147884618,0,0.641538633700886,0.593718855912293,0.00601701689057394,0.0404634318088738,0.9,17.943934224432,-2.74338095238095,14.2019720294643,0,FALSE,3,7.78682944984615,0,0.193169015309237,0.0633714809557999
"5","AVX",2012,1.36272470305024,0.254908567605789,168.633,0.5675839575846,-0.0320387563039508,0.162689845476348,1.03326887576222,0.292799928759706,0.329455827288023,-0.0336816754461738,28,1,0.900143195277419,0,0.740753852330332,0.845632531241716,0.0528515094795782,0.0930414910081255,-0.38,17.7254609971099,-2.627,11.3228502266866,0,FALSE,3,7.55454758384442,0,0.232008721073469,0.0335604545138631
"6","AVX",2013,1.13855374873657,0.219918133611351,168.221,0.5675839575846,-0.0315559994008291,0.157079675514311,0.977530886101582,0.262808170375263,0.161022862634986,0.0606453586258075,29,1,0.85832681181661,0,0.688675243708718,0.767054441942132,0.0312800717790676,0.0434490527588645,0.75,17.4856668983975,2.77714285714286,12.4523824395475,0,FALSE,3,7.64719055632282,0,0.223021005869763,0.0602294383135935
"7","RWC",2010,0.974257647461383,0.141411850991032,13.509,2.09248115518764,0.0590009445620009,0.339892484619633,0.850991317151973,0.334404024660377,0.179271023771205,-0.0184815488423923,80.15,2.54,-0.115341666184566,0,0.726772907053712,0.552878333854839,0.157849228522069,0.218474309194462,-0.05,16.408828240847,-1.46466507177033,2.64351859396928,0,FALSE,3,3.57546696050118,0,0.554058925521353,0.0189141850993847
"8","RWC",2011,1.76375321348547,0.149143950887568,13.519,2.09322116508821,-0.110764167016389,0.639330772018599,1.55451970199152,0.672781550457548,0.209233511493959,-0.02730336716954,86.4,0.9,-0.255422169139794,0,1.33492974088152,1.07812301965402,0.260960377490613,0.45247162226195,-0.04,15.2908267321256,-0.759684761904762,1.33562992771785,0,FALSE,3,2.89349913991388,0,0.568783872043669,0.0299484154778913
"9","RWC",2012,1.61707900342984,0.313368578373727,13.545,2.09519185177107,0.0010951948492016,0.686639553282045,1.43727657949135,0.635451098373709,0.179802423938488,0.0983294505913608,72.3,0.4,-0.121280925257238,0,1.31309100702536,1.12552698480775,0.141803924387929,0.352700358610271,0.15,15.7252288992404,0.451615,1.55044881716396,0,FALSE,3,3.04456192401458,0,0.291280173199192,0.0967461797767541
"10","RWC",2013,0.946059406713925,0.220922375638307,13.589,2.09838595768077,0.00144593625339106,0.367657098891089,0.873679174645137,0.321859848711568,0.0723802320687872,0.0317549846417806,72.3,1.05,-0.03906808530797,0,0.751414141834359,0.713625153981311,0.0854214648157181,0.19208706996972,0.08,16.4557364188666,1.66333333333333,2.64646831193597,0,FALSE,3,3.58248668060841,0,0.628510579866554,0.0302289657651248
"11","ANEN",2010,1.06165236825159,0.222234032585472,14.695,-1.25526609871349,-0.0633829531387751,0.317530603950481,0.892639957570899,0.13795216832432,0.300977751381864,0.0603169583898178,0,0,0.507177995072142,0,0.74247659638703,0.393569033262499,0.00011436996194102,0.00552055008599922,0.98,16.4358503741914,6.04485645933014,15.4700522658755,0,FALSE,3,5.42641334298121,0,0.390745703727462,0.0633482022657238
"12","ANEN",2011,0.887434525007931,0.205092232366218,14.9,-1.24479479884619,-0.0369874153390469,0.268357221698751,0.755568944832892,0.11848969436202,0.202117081293837,0.05760974349247,0,0,0.470365413165853,0,0.629348072772748,0.386731001083925,0.000165091027629174,0.00174574980280212,1.17,16.8649664253343,-4.54502380952381,19.1068070833787,0,FALSE,3,5.65140587631146,0,0.237874585203594,0.0612347209501999
"13","ANEN",2012,0.82039563334508,0.080632372631857,13.946,-1.22417551164346,-0.190509905735225,0.229644159309357,0.711857368186149,0.139847970484617,0.10853826515893,0.0330557423306119,0,0,0.537625899758384,0,0.565432018742319,0.341306103857319,0,0.00196477131103706,0.61,16.5058915743624,2.015575,18.685653536241,0,FALSE,3,5.56294876764272,0,0.107867514298645,0.0326453660727949
"14","ANEN",2013,0.692020059725243,0.142187506347497,13.249,-1.21066179247673,-0.05382574352186,0.213316559299386,0.60888266406431,0.112086422806387,0.0831373956609329,0.0483157690612964,0,0,0.50486384509826,0,0.50823336937525,0.344856368931595,0,-0.00273091919973188,1.19,16.5738774400557,8.52047619047619,23.5200158038789,0,FALSE,3,5.74177387284981,0,0.36226490073493,0.050595204098619
"15","ANDR",2010,1.13105397011818,0.434013626059514,63.721,-0.450985623409974,-0.0158285023461597,0.713259673623244,0.996804820589636,0.151054719920758,0.136984940057505,-0.0152422615185241,168.2,1.84,-14.2388126352213,0,0.960457889276232,0.593861958394806,0.029507454990989,0.0340019680028615,0.00267135642135642,15.9085270417689,0.00897727272727272,0.0803087028465432,0,FALSE,2,1.63263689383639,0,0.111784556456189,0.0332635981739233
